Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	50	1	0	30	25	f(-5, -5) = 50	f(-0.04098374403093796, -0.041934968053411126) = 0.6782817596218162	59.58475055019009	1	2.2384
Rastrigin	100	50	1	0	30	25	f(-5, -5) = 50	f(0.0015710676898610387, -1.0400480425295267) = 1.3971091343832622	41.71691583234002	1	1.735
Rastrigin	100	50	1	0	30	25	f(-5, -5) = 50	f(-0.9959752307032697, 0.018477593734142594) = 1.0628236518109961	48.47724133481207	1	1.7086
Booth	100	50	1	0	30	25	f(-5, -5) = 884	f(0.9939041667096724, 3.017694572050666) = 0.0008883800268819889	99.9112408491686	1	1.7294
Booth	100	50	1	0	30	25	f(-5, -5) = 884	f(1.0336239265193379, 2.9731814323346066) = 0.0020350556427249145	99.79690773977767	1	1.7566
Booth	100	50	1	0	30	25	f(-5, -5) = 884	f(1.0645205501752797, 2.9335914190802908) = 0.00858725965505803	99.1485853531409	1	1.7318
Levi	100	50	1	0	30	25	f(-5, -5) = 36.0000000000001	f(-2.337714813266829, -3.3316027511533703) = 0.31491326114641344	76.05064376095388	1	2.3727
Levi	100	50	1	0	30	25	f(-5, -5) = 36.0000000000001	f(0.9960130428759233, -4.280328323521058) = 0.010550735918403996	98.95594198852218	1	2.7662
Levi	100	50	1	0	30	25	f(-5, -5) = 36.0000000000001	f(-2.332927983382481, -3.334652458386716) = 0.3603234829944568	73.51192657489946	1	2.2545
